Symbol,Description,Portfolio Weight,Shares Held,Market Value
GD,General Dynamics Corp,0.06%,173.0,$50.6K
EMR,Emerson Electric Co,0.06%,479.0,$51.9K
ENTG,Entegris Inc,0.06%,370.0,$49.8K
EXR,Extra Space Storage Inc,0.06%,312.0,$48.6K
CCI,Crown Castle Inc,0.06%,512.0,$49.9K
NET,Cloudflare Inc,0.06%,626.0,$51.2K
LPLA,LPL Financial Holdings Inc,0.06%,180.0,$49.8K
EL,The Estee Lauder Companies Inc Class A,0.06%,453.0,$50.2K
IRM,Iron Mountain Inc,0.06%,568.0,$50.7K
HWM,Howmet Aerospace Inc,0.06%,614.0,$48.9K
NSC,Norfolk Southern Corp,0.06%,230.0,$48.3K
NOC,Northrop Grumman Corp,0.06%,113.0,$49.1K
SBAC,SBA Communications Corp Class A,0.06%,236.0,$46.5K
TTWO,Take-Two Interactive Software Inc,0.06%,317.0,$49.8K
TDY,Teledyne Technologies Inc,0.05%,106.0,$41.0K
SNAP,Snap Inc Class A,0.05%,2.3K,$38.6K
RBLX,Roblox Corp Ordinary Shares - Class A,0.05%,1.1K,$40.4K
OKTA,Okta Inc Class A,0.05%,406.0,$37.5K
PTC,PTC Inc,0.05%,245.0,$44.4K
PSTG,Pure Storage Inc Class A,0.05%,663.0,$43.2K
HUBB,Hubbell Inc,0.05%,120.0,$44.4K
HSY,The Hershey Co,0.05%,232.0,$42.6K
JBHT,JB Hunt Transport Services Inc,0.05%,235.0,$36.9K
KVUE,Kenvue Inc,0.05%,2.4K,$43.9K
INVH,Invitation Homes Inc,0.05%,1.1K,$37.1K
LHX,L3Harris Technologies Inc,0.05%,166.0,$37.0K
MDB,MongoDB Inc Class A,0.05%,164.0,$40.0K
NVR,NVR Inc,0.05%,5.0,$38.3K
NDAQ,Nasdaq Inc,0.05%,652.0,$39.2K
MANH,Manhattan Associates Inc,0.05%,162.0,$40.7K
LII,Lennox International Inc,0.05%,71.0,$38.5K
COO,The Cooper Companies Inc,0.05%,425.0,$37.2K
CPAY,Corpay Inc,0.05%,163.0,$43.9K
DPZ,Domino's Pizza Inc,0.05%,74.0,$38.2K
DOV,Dover Corp,0.05%,209.0,$37.3K
FDS,FactSet Research Systems Inc,0.05%,94.0,$39.0K
BURL,Burlington Stores Inc,0.05%,160.0,$38.1K
CBOE,Cboe Global Markets Inc,0.05%,232.0,$39.5K
BAH,Booz Allen Hamilton Holding Corp Class A,0.05%,272.0,$42.5K
CME,CME Group Inc Class A,0.05%,221.0,$43.2K
CSL,Carlisle Companies Inc,0.05%,106.0,$43.6K
ALGN,Align Technology Inc,0.05%,159.0,$38.6K
ZBRA,Zebra Technologies Corp Class A,0.05%,135.0,$41.4K
ZS,Zscaler Inc,0.05%,206.0,$39.0K
RCL,Royal Caribbean Group,0.05%,248.0,$39.7K
WTW,Willis Towers Watson PLC,0.05%,156.0,$41.2K
CB,Chubb Ltd,0.05%,160.0,$41.9K
WAB,Westinghouse Air Brake Technologies Corp,0.05%,239.0,$37.9K
WAT,Waters Corp,0.05%,132.0,$37.8K
WSO,Watsco Inc Class A,0.05%,85.0,$39.3K
VRSN,VeriSign Inc,0.05%,238.0,$42.4K
TPL,Texas Pacific Land Corp,0.04%,49.0,$36.0K
TXRH,Texas Roadhouse Inc,0.04%,174.0,$30.3K
TRU,TransUnion,0.04%,433.0,$32.2K
BLD,TopBuild Corp,0.04%,89.0,$33.9K
CYBR,CyberArk Software Ltd,0.04%,125.0,$33.8K
JCI,Johnson Controls International PLC,0.04%,485.0,$32.5K
GRMN,Garmin Ltd,0.04%,209.0,$33.9K
ZM,Zoom Video Communications Inc,0.04%,508.0,$29.7K
WING,Wingstop Inc,0.04%,67.0,$28.6K
AVB,AvalonBay Communities Inc,0.04%,160.0,$33.0K
AVTR,Avantor Inc,0.04%,1.5K,$32.4K
AVY,Avery Dennison Corp,0.04%,160.0,$35.7K
APP,AppLovin Corp Ordinary Shares - Class A,0.04%,435.0,$36.2K
CVNA,Carvana Co Class A,0.04%,225.0,$29.9K
CLH,Clean Harbors Inc,0.04%,130.0,$29.8K
BMRN,Biomarin Pharmaceutical Inc,0.04%,423.0,$35.3K
BLDR,Builders FirstSource Inc,0.04%,240.0,$33.1K
EXPE,Expedia Group Inc,0.04%,265.0,$33.0K
ENPH,Enphase Energy Inc,0.04%,281.0,$29.6K
EME,EMCOR Group Inc,0.04%,91.0,$33.7K
FTV,Fortive Corp,0.04%,434.0,$31.9K
GPN,Global Payments Inc,0.04%,321.0,$30.4K
GGG,Graco Inc,0.04%,422.0,$33.4K
DKNG,DraftKings Inc Ordinary Shares - Class A,0.04%,919.0,$34.1K
DASH,DoorDash Inc Ordinary Shares - Class A,0.04%,281.0,$31.1K
ELF,e.l.f. Beauty Inc,0.04%,143.0,$31.2K
DHI,D.R. Horton Inc,0.04%,254.0,$35.9K
STZ,Constellation Brands Inc Class A,0.04%,126.0,$32.2K
CTSH,Cognizant Technology Solutions Corp Clas...,0.04%,476.0,$32.2K
FWONK,Liberty Formula One Group Registered Shs...,0.04%,453.0,$32.8K
LECO,Lincoln Electric Holdings Inc,0.04%,152.0,$28.4K
LYV,Live Nation Entertainment Inc,0.04%,324.0,$29.4K
NTAP,NetApp Inc,0.04%,261.0,$33.7K
NBIX,Neurocrine Biosciences Inc,0.04%,217.0,$29.1K
MOH,Molina Healthcare Inc,0.04%,101.0,$30.6K
PODD,Insulet Corp,0.04%,159.0,$32.9K
KDP,Keurig Dr Pepper Inc,0.04%,878.0,$30.0K
IEX,IDEX Corp,0.04%,181.0,$36.2K
GWRE,Guidewire Software Inc,0.04%,217.0,$29.8K
HEI/A,Heico Corp Class A,0.04%,172.0,$30.5K
POOL,Pool Corp,0.04%,107.0,$32.9K
RJF,Raymond James Financial Inc,0.04%,287.0,$34.9K
PPG,PPG Industries Inc,0.04%,266.0,$33.2K
NTNX,Nutanix Inc Class A,0.04%,521.0,$29.4K
ONTO,Onto Innovation Inc,0.04%,133.0,$29.3K
NDSN,Nordson Corp,0.04%,143.0,$32.9K
ROL,Rollins Inc,0.04%,658.0,$32.5K
SRPT,Sarepta Therapeutics Inc,0.04%,204.0,$32.2K
SAIA,Saia Inc,0.04%,64.0,$29.4K
HOOD,Robinhood Markets Inc Class A,0.03%,1.1K,$26.0K
LNW,Light & Wonder Inc Ordinary Shares,0.03%,204.0,$21.6K
SUI,Sun Communities Inc,0.03%,220.0,$26.4K
GEN,Gen Digital Inc,0.03%,917.0,$22.6K
RVTY,Revvity Inc,0.03%,209.0,$22.1K
RPM,RPM International Inc,0.03%,214.0,$22.9K
REXR,Rexford Industrial Realty Inc,0.03%,463.0,$20.6K
RBC,RBC Bearings Inc,0.03%,79.0,$21.4K
QRVO,Qorvo Inc,0.03%,217.0,$24.4K
JKHY,Jack Henry & Associates Inc,0.03%,165.0,$27.5K
HEI,Heico Corp,0.03%,97.0,$22.0K
HOLX,Hologic Inc,0.03%,315.0,$23.4K
INCY,Incyte Corp,0.03%,421.0,$25.8K
HUM,Humana Inc,0.03%,59.0,$21.4K
ITT,ITT Inc,0.03%,175.0,$22.3K
KNSL,Kinsale Capital Group Inc,0.03%,60.0,$23.2K
MU,Micron Technology Inc,0.03%,191.0,$25.3K
MEDP,Medpace Holdings Inc,0.03%,65.0,$27.6K
NTRA,Natera Inc,0.03%,247.0,$27.2K
MORN,Morningstar Inc,0.03%,74.0,$21.8K
LW,Lamb Weston Holdings Inc,0.03%,294.0,$24.5K
MKSI,MKS Instruments Inc,0.03%,162.0,$21.1K
FIX,Comfort Systems USA Inc,0.03%,80.0,$25.3K
DRI,Darden Restaurants Inc,0.03%,144.0,$21.9K
DOCU,DocuSign Inc,0.03%,449.0,$23.7K
DLTR,Dollar Tree Inc,0.03%,255.0,$26.8K
DT,Dynatrace Inc Ordinary Shares,0.03%,557.0,$24.5K
DUOL,Duolingo Inc,0.03%,99.0,$20.7K
DD,DuPont de Nemours Inc,0.03%,294.0,$23.5K
FND,Floor & Decor Holdings Inc Class A,0.03%,223.0,$22.5K
EPAM,EPAM Systems Inc,0.03%,128.0,$23.7K
ELS,Equity Lifestyle Properties Inc,0.03%,312.0,$20.4K
ERIE,Erie Indemnity Co Class A,0.03%,75.0,$27.2K
EXPD,Expeditors International of Washington I...,0.03%,206.0,$26.0K
XOM,Exxon Mobil Corp,0.03%,245.0,$28.2K
FCN,FTI Consulting Inc,0.03%,97.0,$21.3K
BF/B,Brown-Forman Corp Registered Shs -B- Non...,0.03%,556.0,$24.1K
CF,CF Industries Holdings Inc,0.03%,328.0,$24.5K
TECH,Bio-Techne Corp,0.03%,324.0,$23.3K
BSY,Bentley Systems Inc Ordinary Shares - Cl...,0.03%,489.0,$24.3K
CHDN,Churchill Downs Inc,0.03%,151.0,$21.2K
CRL,Charles River Laboratories International...,0.03%,127.0,$26.3K
CHE,Chemed Corp,0.03%,41.0,$22.3K
CASY,Casey's General Stores Inc,0.03%,58.0,$22.2K
CELH,Celsius Holdings Inc,0.03%,435.0,$25.0K
AKAM,Akamai Technologies Inc,0.03%,296.0,$26.6K
AMH,American Homes 4 Rent Class A,0.03%,622.0,$22.9K
AWK,American Water Works Co Inc,0.03%,199.0,$25.7K
WMS,Advanced Drainage Systems Inc,0.03%,175.0,$28.3K
--,Monday.Com Ltd Ordinary Shares,0.03%,92.0,$21.7K
GRAB,Grab Holdings Inc Class A,0.03%,6.2K,$22.0K
ESTC,Elastic NV,0.03%,223.0,$25.6K
NVT,nVent Electric PLC,0.03%,303.0,$23.1K
TOST,Toast Inc Class A,0.03%,917.0,$23.6K
TW,Tradeweb Markets Inc,0.03%,248.0,$26.5K
TTEK,Tetra Tech Inc,0.03%,121.0,$26.0K
TRMB,Trimble Inc,0.03%,470.0,$26.0K
WSM,Williams-Sonoma Inc,0.03%,91.0,$26.1K
WSC,WillScot Mobile Mini Holdings Corp,0.02%,422.0,$16.0K
WEX,WEX Inc,0.02%,76.0,$13.3K
PCVX,Vaxcyte Inc Ordinary Shares,0.02%,240.0,$18.9K
OLED,Universal Display Corp,0.02%,79.0,$16.4K
TWLO,Twilio Inc Class A,0.02%,354.0,$19.8K
TREX,Trex Co Inc,0.02%,237.0,$17.6K
TTC,The Toro Co,0.02%,204.0,$18.8K
GLOB,Globant SA,0.02%,75.0,$13.5K
ONON,On Holding AG,0.02%,458.0,$17.9K
PNR,Pentair PLC,0.02%,265.0,$20.2K
MDT,Medtronic PLC,0.02%,236.0,$18.7K
APTV,Aptiv PLC,0.02%,224.0,$15.5K
ALLE,Allegion PLC,0.02%,161.0,$18.7K
Z,Zillow Group Inc Class C,0.02%,316.0,$14.8K
ZBH,Zimmer Biomet Holdings Inc,0.02%,166.0,$18.0K
ACM,AECOM,0.02%,223.0,$19.8K
APG,APi Group Corp,0.02%,451.0,$17.4K
AFRM,Affirm Holdings Inc Ordinary Shares - Cl...,0.02%,470.0,$14.3K
BRBR,BellRing Brands Inc Class A,0.02%,277.0,$16.1K
BWXT,BWX Technologies Inc,0.02%,138.0,$13.1K
BALL,Ball Corp,0.02%,320.0,$19.5K
DAY,Dayforce Inc,0.02%,311.0,$15.5K
CTLT,Catalent Inc,0.02%,320.0,$18.1K
CPT,Camden Property Trust,0.02%,116.0,$12.7K
CHTR,Charter Communications Inc Class A,0.02%,54.0,$15.9K
CRUS,Cirrus Logic Inc,0.02%,155.0,$19.7K
BIIB,Biogen Inc,0.02%,86.0,$19.7K
OWL,Blue Owl Capital Inc Ordinary Shares - C...,0.02%,747.0,$13.4K
BRKR,Bruker Corp,0.02%,205.0,$13.2K
ESS,Essex Property Trust Inc,0.02%,48.0,$13.1K
ETSY,Etsy Inc,0.02%,257.0,$15.1K
EXAS,Exact Sciences Corp,0.02%,409.0,$18.2K
EXEL,Exelixis Inc,0.02%,675.0,$15.2K
FCNCA,First Citizens BancShares Inc Class A,0.02%,11.0,$18.5K
